entity,type
Hagia Sophia,LOC
Halbspitze,BODY
Hallenstadion,LOC
Haltung,MOV
Hamburg,LOC
Hand,BODY
Handlung,DANC
Handlungsballett,DANC
Handwerk,PROC
Hannover,LOC
Hans Brandenberg,PER
Hans Macke,PER
Hans Meister,PER
Hans Meister auf Russland,PER
Hans Züllig,PER
Hanswurst,PER
Hard Disc,MISC
Hasler,LOC;PER
Hast Du,MISC
Hast du,MISC
Hast du das Gefühl,MISC
Hast du jetzt,MISC
Hauptmotiv,PROC
Haus an der Bautznerstrasse,LOC
Haus vom Petipa,LOC
Hause,LOC
Haydn,PER
Haydée,LOC
Hedwig Müller,PER
Heidi Greco,PER
Heidi Meier,PER
Heinz Rosen,PER
Heinz Rosen–Block,PER
Heinz Spoerli,PER
Hellerau,LOC
Henze,PER
Herisau,LOC
Herisauer,LOC
Herrliberg,LOC
Herter,PER
Hierarchie,DANC
Hilde Baumann,PER
Hin-und-herreisen,MISC
Hochdeutsch,MISC
Hodler,PER
Hohe Gasse,LOC
Hohe Promenade,LOC
Hombrechtikon,LOC
Hommage,DANC
Honegger,PER
Honorar,PROC
Horst Koegler,PER
Hottentotten,LOC
Hotzenköcherle,MISC
Humphrey,PER
Hutchinson,PER
Hutchinson-Guest,PER
Händel,PER
Häsler,PER
Hässliche,LOC
I,LOC;MISC;PER
I: Gut,LOC
I: Kannst Du,MISC
I: Meinst du,ORG
I: Mich,ORG
I: Schön,MISC
ICH,MISC
IG Tanz,ORG
IHN,MISC
IMMENS,MISC
IMMER,ORG
IRGENDWO,ORG
IST,ORG
Ich bin,PER
Ich mag mich,MISC
Ich suche lieber etwas,MISC
Idee,DANC
Identität,DANC
Idi Amin,PER
Ikarus,MISC
Ikosaeder,MISC
Impekoven 90 Jahre alt geworden,MISC
Improvisation,MOV
Individuum,DANC
Information,PROC
Inszenierung,DANC
Intendant,DANC
Internet,MISC
Interpretation,DANC
Interview,JOUR
Ionescu,PER
Irak,LOC
Iran,LOC
Irene Steiner,PER
Irland,LOC
Isadora,PER
Isadora Duncan,PER
Island,LOC
Israel,LOC
Italienreise,LOC
JEDEM,MISC
JEDER,MISC;ORG
JETZT,MISC
Ja,LOC;MISC
Ja und du hast,MISC
Ja! I,ORG
Jacques Dalcroze,PER
Jahr 1919,MISC
Jahr 1962,MISC
Jahr 2000,MISC
Jahr 55,MISC
Jahrbuch,JOUR
Jahreszeitenfehen,MISC
James,PER
James McCracken,PER
Janu,PER
Jaques-Dalcroze,LOC
Jardin animé,LOC
Jaroslav Berger,PER
Jasin,MISC
Jazztanz-Stunden,MISC
Jazztanzen,LOC
Jean Cébron,PER
Jean Nouvel,PER
Jean-Pierre,PER
Jean-Pierre Pastori,PER
Jedenfalls Ursula,PER
Jelinek,PER
Jelko Yuresha,PER
Jelmoli,ORG
Jelzin,PER
Jerome Robbins,PER
Jeschke,PER
Jeté,MOV
Jitka,LOC
Jiří Kylián,PER
Job,PROC
Jochen Schmidt,PER
Joffrey,PER
Joffrey Ballet,ORG
Johannes Schmid,PER
Johannesburg,LOC
John Cranko,PER
John Geisler,PER
John Geissler,PER
Jooss,PER
Jooss-Programm,MISC
Jooss-Tänzer,MISC
Jooss-Werke,MISC
Jordanien,LOC
Joseph Brodsky,PER
Joseph Haydn,PER
Journalismus,JOUR
Jo’burg,PER
Juch,MISC
Jude,MISC
Juden,MISC
Julia,MISC;PER
Julia Marcus,PER
Julia“,PER
Juni-Festwochen,MISC
Jupiter Symphonie,MISC
Juri Ackermann,PER
Jérôme Bel,PER
Jürg,PER
Jürg Burth,PER
Jürg [,PER
K,MISC;PER
K/,MISC
